math_score,sex,education,BSBM16A,BSBM16B,BSBM16C,BSBM16D,BSBM16E,BSBM16F,BSBM16G,BSBM16H,BSBM16I,BSBM17A,BSBM17B,BSBM17C,BSBM17D,BSBM17E,BSBM17F,BSBM17G,BSBM19A,BSBM19B,BSBM19C,BSBM19D,BSBM19E,BSBM19F,BSBM19G,BSBM19H,BSBM19I,BSBM20A,BSBM20B,BSBM20C,BSBM20D,BSBM20E,BSBM20F,BSBM20G,BSBM20H,BSBM20I,interest,teaching,success,importance
536.92562,0,University or Higher,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,1.0,4.0,3.0,4.0,3.0,1.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.6666666666666665,3.5714285714285716,2.888888888888889,3.5555555555555554
378.99368,0,Post-Secondary,4.0,4.0,1.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,1.0,4.0,3.0,4.0,3.0,1.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.5555555555555554,3.5714285714285716,2.888888888888889,3.5555555555555554
509.67676,0,Post-Secondary,4.0,4.0,1.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,1.0,3.0,3.0,4.0,3.0,1.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.3333333333333335,3.2857142857142856,2.7777777777777777,3.5555555555555554
357.27753,0,Post-Secondary,4.0,4.0,1.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,1.0,3.0,2.0,4.0,3.0,1.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.2222222222222223,3.5714285714285716,2.6666666666666665,3.5555555555555554
337.74524,0,Post-Secondary,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,2.0,1.0,3.0,3.0,4.0,3.0,1.0,4.0,4.0,3.0,1.0,2.0,3.0,1.0,3.0,3.0,4.0,3.6666666666666665,2.7142857142857144,2.7777777777777777,2.6666666666666665
470.35284,0,University or Higher,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,1.0,3.0,3.0,4.0,3.0,1.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.6666666666666665,3.5714285714285716,2.7777777777777777,3.6666666666666665
476.29422,0,Secondary or lower,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.5555555555555554,3.5714285714285716,4.0,4.0
522.45145,0,University or Higher,4.0,4.0,1.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,1.0,3.0,3.0,4.0,3.0,1.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.2222222222222223,3.4285714285714284,2.7777777777777777,3.5555555555555554
500.72884,0,University or Higher,4.0,4.0,1.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,1.0,3.0,2.0,4.0,3.0,1.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.3333333333333335,3.5714285714285716,2.6666666666666665,3.5555555555555554
466.72918,0,Post-Secondary,4.0,4.0,1.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,1.0,3.0,4.0,3.0,3.0,4.0,2.0,1.0,3.0,3.0,4.0,3.0,1.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.2222222222222223,3.142857142857143,2.7777777777777777,3.5555555555555554
330.36752,0,Don't Know,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,4.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5555555555555554,1.0
354.10618,0,University or Higher,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,2.6666666666666665,2.4285714285714284,2.7777777777777777,2.6666666666666665
488.5755,0,Don't Know,1.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,4.0,3.0,1.0,4.0,1.0,1.0,4.0,4.0,2.0,1.0,4.0,3.0,1.0,3.0,2.0,2.0,2.0,2.4444444444444446,2.142857142857143,2.888888888888889,2.2222222222222223
