math_score,sex,education,interest,teaching,success,importance
755.26959,1,University or Higher,3.333333333333333,3.7142857142857135,3.6666666666666665,4.0
563.2714,1,University or Higher,2.4444444444444446,3.7142857142857135,2.6666666666666665,2.888888888888889
482.23426,0,University or Higher,2.111111111111111,1.5714285714285714,3.4444444444444446,3.333333333333333
679.09793,1,University or Higher,2.333333333333333,3.571428571428572,3.6666666666666665,4.0
404.78303,1,University or Higher,1.8888888888888888,2.142857142857143,2.888888888888889,3.0
580.71637,1,University or Higher,2.6666666666666665,4.0,2.333333333333333,3.888888888888889
351.0689,0,Don't Know,2.7777777777777777,3.4285714285714284,3.111111111111111,3.333333333333333
459.14556,1,University or Higher,2.7777777777777777,3.857142857142857,2.4444444444444446,3.111111111111111
454.72528,1,Secondary or lower,2.6666666666666665,3.2857142857142856,2.555555555555556,3.7777777777777777
490.7499,0,Don't Know,2.555555555555556,2.857142857142857,2.6666666666666665,3.2222222222222223
412.57031,1,Don't Know,3.333333333333333,4.0,2.4444444444444446,3.4444444444444446
721.8238,0,University or Higher,2.4444444444444446,3.2857142857142856,1.6666666666666667,3.888888888888889
348.85386,0,Secondary or lower,2.0,3.7142857142857135,1.1111111111111112,3.6666666666666665
468.41629,0,Post-Secondary,1.4444444444444444,1.4285714285714286,2.7777777777777777,1.3333333333333333
581.69516,1,University or Higher,3.0,4.0,2.555555555555556,3.6666666666666665
459.57906,1,University or Higher,1.6666666666666667,2.0,1.1111111111111112,3.7777777777777777
566.75521,1,University or Higher,2.333333333333333,3.571428571428572,2.4444444444444446,3.555555555555556
562.35095,1,University or Higher,2.333333333333333,2.4285714285714284,2.888888888888889,3.2222222222222223
349.13224,0,Secondary or lower,2.6666666666666665,3.4285714285714284,2.555555555555556,2.888888888888889
398.43299,0,Don't Know,3.333333333333333,3.4285714285714284,2.888888888888889,4.0
465.61832,1,University or Higher,3.111111111111111,4.0,3.4444444444444446,4.0
523.46254,0,Don't Know,3.111111111111111,4.0,3.2222222222222223,4.0
408.98462,1,University or Higher,2.555555555555556,3.857142857142857,2.7777777777777777,3.111111111111111
678.11835,1,University or Higher,2.555555555555556,4.0,3.6666666666666665,4.0
308.30951,0,Post-Secondary,2.7777777777777777,2.857142857142857,2.4444444444444446,3.111111111111111
570.22119,1,University or Higher,2.4444444444444446,3.857142857142857,2.4444444444444446,3.6666666666666665
583.95909,0,Secondary or lower,1.3333333333333333,3.857142857142857,2.4444444444444446,1.0
640.13624,0,University or Higher,2.4444444444444446,2.4285714285714284,3.555555555555556,3.4444444444444446
379.17875,0,Post-Secondary,3.0,3.857142857142857,2.555555555555556,2.7777777777777777
537.30845,1,University or Higher,2.111111111111111,3.571428571428572,2.111111111111111,3.4444444444444446
314.63283,0,Don't Know,2.333333333333333,2.2857142857142856,2.2222222222222223,2.333333333333333
408.69064,1,University or Higher,2.333333333333333,1.7142857142857142,2.111111111111111,3.4444444444444446
559.92233,1,University or Higher,3.333333333333333,3.7142857142857135,3.2222222222222223,3.888888888888889
466.57061,0,Don't Know,3.111111111111111,3.857142857142857,2.4444444444444446,4.0
458.01777,1,Don't Know,3.333333333333333,4.0,2.333333333333333,4.0
618.08603,1,University or Higher,3.111111111111111,2.7142857142857144,4.0,3.6666666666666665
409.03506,0,Secondary or lower,3.4444444444444446,3.7142857142857135,2.2222222222222223,3.333333333333333
652.41686,0,Post-Secondary,3.2222222222222223,3.571428571428572,3.555555555555556,2.555555555555556
721.01905,0,University or Higher,3.333333333333333,4.0,4.0,3.888888888888889
406.72336,0,Don't Know,2.7777777777777777,2.4285714285714284,2.6666666666666665,2.555555555555556
349.26275,1,Don't Know,1.7777777777777777,3.857142857142857,1.5555555555555556,2.2222222222222223
437.86636,1,Secondary or lower,2.6666666666666665,3.142857142857143,3.0,3.6666666666666665
603.12569,0,University or Higher,2.7777777777777777,2.142857142857143,3.888888888888889,4.0
473.16173,1,University or Higher,2.333333333333333,3.4285714285714284,2.2222222222222223,3.111111111111111
264.32233,0,University or Higher,2.888888888888889,3.142857142857143,2.4444444444444446,2.7777777777777777
542.35922,0,Secondary or lower,3.0,3.0,2.4444444444444446,3.0
326.2402,1,Don't Know,2.333333333333333,3.142857142857143,2.7777777777777777,2.888888888888889
534.76759,0,Don't Know,2.6666666666666665,2.142857142857143,2.111111111111111,3.4444444444444446
440.81289,0,Secondary or lower,2.555555555555556,2.857142857142857,2.555555555555556,4.0
284.00328,1,Don't Know,2.111111111111111,3.4285714285714284,2.555555555555556,2.7777777777777777
545.92999,1,Don't Know,3.0,4.0,3.333333333333333,3.4444444444444446
427.73542,1,University or Higher,2.888888888888889,3.7142857142857135,3.6666666666666665,3.2222222222222223
495.31194,0,Post-Secondary,1.8888888888888888,2.571428571428572,2.0,2.6666666666666665
294.64633,1,University or Higher,2.7777777777777777,3.857142857142857,2.555555555555556,3.6666666666666665
497.30339,0,Post-Secondary,3.0,3.4285714285714284,3.2222222222222223,3.7777777777777777
280.37382,1,Don't Know,3.2222222222222223,4.0,3.6666666666666665,4.0
355.66101,1,Don't Know,3.111111111111111,3.571428571428572,2.333333333333333,3.555555555555556
412.36163,1,Don't Know,1.6666666666666667,2.4285714285714284,2.555555555555556,1.2222222222222223
426.14485,1,Don't Know,2.6666666666666665,3.2857142857142856,2.7777777777777777,3.111111111111111
456.45426,0,Don't Know,2.7777777777777777,3.857142857142857,2.555555555555556,2.4444444444444446
482.28025,1,Secondary or lower,2.333333333333333,3.7142857142857135,2.111111111111111,2.888888888888889
642.93678,0,Don't Know,2.0,3.142857142857143,2.7777777777777777,3.111111111111111
397.2562,1,Don't Know,3.2222222222222223,3.7142857142857135,3.888888888888889,1.4444444444444444
635.1887,0,University or Higher,3.333333333333333,4.0,3.555555555555556,3.555555555555556
457.48383,1,University or Higher,2.7777777777777777,3.571428571428572,2.333333333333333,3.7777777777777777
401.62059,1,Don't Know,2.4444444444444446,3.4285714285714284,2.0,1.6666666666666667
355.50378,0,Secondary or lower,2.4444444444444446,2.7142857142857144,2.6666666666666665,2.7777777777777777
502.32108,1,University or Higher,3.333333333333333,3.571428571428572,3.888888888888889,3.4444444444444446
529.51104,1,University or Higher,3.2222222222222223,3.857142857142857,4.0,4.0
284.57296,0,Post-Secondary,2.555555555555556,2.2857142857142856,2.0,2.888888888888889
384.45501,1,Secondary or lower,3.111111111111111,3.571428571428572,3.555555555555556,3.6666666666666665
418.58005,1,University or Higher,1.4444444444444444,2.7142857142857144,2.4444444444444446,3.0
389.32405,0,Don't Know,2.7777777777777777,3.4285714285714284,2.4444444444444446,3.7777777777777777
437.96714,0,Don't Know,2.888888888888889,3.857142857142857,2.111111111111111,3.333333333333333
423.98148,0,Secondary or lower,3.0,4.0,2.6666666666666665,3.7777777777777777
409.78057,0,Don't Know,1.6666666666666667,1.2857142857142858,2.888888888888889,1.0
501.46901,1,Don't Know,3.0,4.0,2.7777777777777777,3.555555555555556
206.04483,1,Don't Know,2.7777777777777777,3.142857142857143,2.888888888888889,3.555555555555556
474.51613,1,University or Higher,3.333333333333333,4.0,4.0,3.888888888888889
311.89398,1,Post-Secondary,3.0,4.0,2.555555555555556,2.0
559.90218,0,University or Higher,1.6666666666666667,2.142857142857143,2.4444444444444446,3.111111111111111
457.61401,0,University or Higher,3.111111111111111,3.142857142857143,2.0,4.0
547.57736,1,Secondary or lower,2.333333333333333,2.571428571428572,2.111111111111111,2.4444444444444446
540.8074,1,Don't Know,3.333333333333333,3.2857142857142856,3.7777777777777777,3.4444444444444446
472.46533,1,Post-Secondary,3.333333333333333,4.0,3.888888888888889,3.7777777777777777
646.02428,1,Post-Secondary,2.4444444444444446,3.857142857142857,3.111111111111111,3.2222222222222223
496.90107,0,Don't Know,3.333333333333333,4.0,4.0,3.2222222222222223
457.21558,1,University or Higher,1.6666666666666667,3.2857142857142856,1.7777777777777777,3.333333333333333
555.05218,1,University or Higher,2.6666666666666665,3.4285714285714284,2.333333333333333,1.7777777777777777
477.47501,1,Don't Know,3.333333333333333,3.2857142857142856,3.333333333333333,4.0
486.8797,1,University or Higher,1.6666666666666667,2.0,1.8888888888888888,1.7777777777777777
583.85921,0,Don't Know,3.4444444444444446,4.0,3.7777777777777777,3.7777777777777777
659.72243,1,University or Higher,2.888888888888889,3.4285714285714284,3.111111111111111,3.2222222222222223
534.78463,1,Secondary or lower,3.333333333333333,4.0,4.0,4.0
462.24041,0,University or Higher,2.333333333333333,3.571428571428572,2.4444444444444446,3.2222222222222223
495.49835,1,Don't Know,2.888888888888889,1.1428571428571428,2.0,3.555555555555556
312.04219,0,Post-Secondary,1.5555555555555556,1.8571428571428568,2.333333333333333,1.0
517.65824,1,University or Higher,2.333333333333333,2.4285714285714284,2.7777777777777777,2.888888888888889
571.9504,0,Don't Know,2.888888888888889,4.0,2.4444444444444446,3.0
537.06982,1,Post-Secondary,1.8888888888888888,2.7142857142857144,1.7777777777777777,2.888888888888889
574.56921,1,Post-Secondary,3.0,3.857142857142857,2.7777777777777777,3.111111111111111
483.48665,1,Post-Secondary,3.0,3.7142857142857135,2.888888888888889,3.6666666666666665
576.97946,0,University or Higher,2.2222222222222223,3.857142857142857,2.7777777777777777,2.4444444444444446
492.96071,1,Post-Secondary,3.555555555555556,3.142857142857143,3.7777777777777777,3.555555555555556
642.76953,1,Don't Know,3.111111111111111,3.857142857142857,3.4444444444444446,3.555555555555556
593.13985,1,Don't Know,3.0,3.7142857142857135,4.0,2.888888888888889
367.75355,0,University or Higher,3.4444444444444446,3.857142857142857,3.111111111111111,4.0
412.26765,1,University or Higher,2.888888888888889,3.857142857142857,3.111111111111111,4.0
430.75232,1,Post-Secondary,2.888888888888889,3.4285714285714284,3.6666666666666665,3.2222222222222223
572.29838,0,University or Higher,3.111111111111111,3.571428571428572,3.4444444444444446,3.111111111111111
540.84281,0,Post-Secondary,3.2222222222222223,3.857142857142857,3.888888888888889,3.7777777777777777
377.20768,0,Secondary or lower,2.888888888888889,3.142857142857143,2.555555555555556,2.7777777777777777
326.13107,1,Post-Secondary,2.111111111111111,2.7142857142857144,1.6666666666666667,2.2222222222222223
502.36251,0,Don't Know,1.5555555555555556,4.0,3.7777777777777777,3.555555555555556
651.59262,0,University or Higher,3.0,3.7142857142857135,3.888888888888889,3.555555555555556
460.38571,0,University or Higher,3.333333333333333,4.0,4.0,4.0
616.80213,0,Secondary or lower,3.333333333333333,4.0,3.2222222222222223,4.0
628.70648,1,University or Higher,2.333333333333333,3.571428571428572,1.8888888888888888,3.888888888888889
576.88046,1,Don't Know,2.6666666666666665,2.857142857142857,1.5555555555555556,3.7777777777777777
335.0026,1,Don't Know,3.2222222222222223,4.0,2.0,3.333333333333333
314.33986,0,Secondary or lower,3.111111111111111,3.571428571428572,2.111111111111111,3.7777777777777777
586.24039,0,Don't Know,2.555555555555556,3.2857142857142856,2.6666666666666665,3.7777777777777777
555.93109,1,University or Higher,2.333333333333333,4.0,2.2222222222222223,2.888888888888889
383.45272,0,Don't Know,4.0,4.0,2.7777777777777777,3.888888888888889
644.96676,1,Don't Know,1.8888888888888888,2.857142857142857,1.2222222222222223,2.7777777777777777
498.90075,1,Secondary or lower,3.2222222222222223,4.0,3.555555555555556,4.0
525.90519,1,Secondary or lower,2.6666666666666665,3.2857142857142856,3.333333333333333,2.4444444444444446
651.16513,1,University or Higher,3.333333333333333,4.0,3.888888888888889,3.888888888888889
342.27521,0,University or Higher,4.0,4.0,2.6666666666666665,4.0
530.73871,1,University or Higher,3.2222222222222223,1.2857142857142858,3.7777777777777777,4.0
436.76552,0,University or Higher,3.2222222222222223,3.142857142857143,2.4444444444444446,3.111111111111111
524.47073,0,Post-Secondary,4.0,4.0,2.6666666666666665,3.888888888888889
523.29373,0,University or Higher,3.2222222222222223,4.0,4.0,4.0
420.08065,0,Post-Secondary,2.888888888888889,3.142857142857143,2.555555555555556,2.7777777777777777
558.01151,1,University or Higher,2.4444444444444446,3.857142857142857,2.4444444444444446,3.2222222222222223
616.81905,0,University or Higher,3.333333333333333,3.7142857142857135,3.4444444444444446,3.888888888888889
542.2678,0,University or Higher,2.888888888888889,2.7142857142857144,2.111111111111111,2.888888888888889
642.90204,0,University or Higher,3.111111111111111,2.857142857142857,3.6666666666666665,3.6666666666666665
330.9578,1,Post-Secondary,1.6666666666666667,3.7142857142857135,1.1111111111111112,3.7777777777777777
288.0277,1,Post-Secondary,2.888888888888889,4.0,2.7777777777777777,3.6666666666666665
313.86271,0,Don't Know,3.0,3.4285714285714284,2.888888888888889,2.555555555555556
480.55727,0,Don't Know,3.0,3.857142857142857,3.7777777777777777,3.888888888888889
628.00595,0,University or Higher,2.888888888888889,3.4285714285714284,2.888888888888889,3.555555555555556
498.64842,1,University or Higher,2.333333333333333,3.7142857142857135,2.333333333333333,3.2222222222222223
619.34822,1,University or Higher,2.555555555555556,3.7142857142857135,2.888888888888889,2.333333333333333
513.65085,0,Don't Know,2.888888888888889,3.142857142857143,2.2222222222222223,3.7777777777777777
503.83627,0,Don't Know,2.333333333333333,3.857142857142857,2.2222222222222223,3.7777777777777777
631.89186,1,University or Higher,3.111111111111111,3.571428571428572,3.555555555555556,3.888888888888889
592.18488,1,Don't Know,3.333333333333333,4.0,3.7777777777777777,3.888888888888889
442.65423,1,Secondary or lower,1.5555555555555556,4.0,2.555555555555556,2.888888888888889
486.70476,1,Don't Know,3.333333333333333,4.0,4.0,3.555555555555556
487.62777,1,Secondary or lower,2.4444444444444446,1.8571428571428568,2.0,3.2222222222222223
523.09418,1,University or Higher,2.2222222222222223,2.4285714285714284,1.6666666666666667,3.2222222222222223
323.38732,0,Don't Know,1.0,3.0,2.6666666666666665,2.333333333333333
563.15782,1,Don't Know,2.4444444444444446,2.7142857142857144,3.333333333333333,2.7777777777777777
516.0562,1,Secondary or lower,1.3333333333333333,3.7142857142857135,2.333333333333333,3.7777777777777777
364.335,1,Secondary or lower,2.7777777777777777,3.571428571428572,2.2222222222222223,3.555555555555556
461.2762,0,University or Higher,3.0,4.0,3.2222222222222223,2.7777777777777777
625.17791,0,Don't Know,2.888888888888889,4.0,3.0,3.4444444444444446
721.453,0,University or Higher,3.333333333333333,4.0,3.7777777777777777,3.6666666666666665
426.75273,0,Don't Know,1.6666666666666667,3.571428571428572,1.4444444444444444,3.4444444444444446
315.19472,0,Secondary or lower,2.7777777777777777,3.571428571428572,3.2222222222222223,4.0
465.30263,1,Secondary or lower,3.333333333333333,4.0,3.888888888888889,3.6666666666666665
635.16542,0,University or Higher,2.555555555555556,3.2857142857142856,2.2222222222222223,2.7777777777777777
486.12116,1,Don't Know,2.333333333333333,3.7142857142857135,2.2222222222222223,2.888888888888889
538.24582,1,Don't Know,1.6666666666666667,2.2857142857142856,1.6666666666666667,1.7777777777777777
421.6935,1,Secondary or lower,1.6666666666666667,3.571428571428572,1.2222222222222223,1.8888888888888888
566.202,1,Post-Secondary,3.4444444444444446,4.0,2.888888888888889,4.0
581.14641,1,University or Higher,2.7777777777777777,3.142857142857143,2.7777777777777777,3.555555555555556
488.3048,1,Don't Know,3.4444444444444446,3.4285714285714284,2.888888888888889,3.7777777777777777
563.75501,1,Post-Secondary,2.4444444444444446,4.0,2.6666666666666665,3.2222222222222223
424.50718,1,Don't Know,1.7777777777777777,3.7142857142857135,2.4444444444444446,3.555555555555556
321.67282,1,Secondary or lower,2.2222222222222223,2.857142857142857,2.2222222222222223,2.888888888888889
375.65352,0,Secondary or lower,3.4444444444444446,3.142857142857143,2.333333333333333,3.888888888888889
605.69785,0,University or Higher,3.111111111111111,2.2857142857142856,3.555555555555556,3.888888888888889
331.92034,0,University or Higher,3.333333333333333,2.0,3.333333333333333,4.0
609.8726,1,University or Higher,3.333333333333333,3.857142857142857,2.7777777777777777,3.7777777777777777
410.19915,1,University or Higher,1.7777777777777777,3.571428571428572,1.6666666666666667,1.5555555555555556
378.95225,1,Don't Know,2.6666666666666665,3.7142857142857135,3.4444444444444446,3.7777777777777777
581.29173,0,Don't Know,2.555555555555556,3.7142857142857135,2.111111111111111,3.888888888888889
449.72361,1,University or Higher,3.2222222222222223,3.857142857142857,2.888888888888889,3.7777777777777777
542.24798,0,Don't Know,2.888888888888889,3.7142857142857135,3.2222222222222223,3.888888888888889
371.26931,1,Secondary or lower,2.555555555555556,3.4285714285714284,2.888888888888889,2.6666666666666665
470.76585,0,Don't Know,3.2222222222222223,3.7142857142857135,2.333333333333333,4.0
408.68218,1,University or Higher,2.7777777777777777,3.857142857142857,2.333333333333333,2.888888888888889
464.05258,0,Don't Know,1.6666666666666667,2.857142857142857,2.4444444444444446,3.333333333333333
390.82921,1,Don't Know,2.4444444444444446,3.857142857142857,3.6666666666666665,3.7777777777777777
463.7046,1,University or Higher,2.2222222222222223,3.857142857142857,3.111111111111111,3.6666666666666665
470.20497,1,Don't Know,2.2222222222222223,3.857142857142857,1.5555555555555556,3.555555555555556
469.38507,0,Secondary or lower,3.333333333333333,3.2857142857142856,3.555555555555556,3.4444444444444446
444.68353,1,Don't Know,2.0,3.0,2.555555555555556,1.6666666666666667
478.6705,1,Secondary or lower,1.2222222222222223,1.1428571428571428,2.555555555555556,3.333333333333333
653.08375,1,Post-Secondary,3.4444444444444446,3.4285714285714284,3.4444444444444446,3.0
457.6914,1,Don't Know,3.6666666666666665,3.4285714285714284,4.0,3.333333333333333
321.73172,1,Don't Know,2.0,1.4285714285714286,2.4444444444444446,2.6666666666666665
595.00803,1,University or Higher,3.0,4.0,3.4444444444444446,3.4444444444444446
